Text filename	Target	Modifier	Original Sentence	pyConText Markup
test.txt	COLON_CANCER: colon cancer	HISTORICAL: history of	HISTORY OF PRESENT ILLNESS: Patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son.	rawText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. cleanedText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. ******************************** TARGET: <id> 254357745214784117227346301988033028087 </id> <phrase> colon cancer </phrase> <category> ['colon_cancer'] </category>  ----MODIFIED BY: <id> 254246306684343353693578595956626317303 </id> <phrase> history of </phrase> <category> ['historical'] </category>  ----MODIFIED BY: <id> 254328499723155226828291855250415181815 </id> <phrase> patient </phrase> <category> ['patient'] </category>  ----MODIFIED BY: <id> 254328986184073064413186636581211234295 </id> <phrase> 70 year old </phrase> <category> ['pseudo_age'] </category>  ----MODIFIED BY: <id> 254320201999238782897593156747693154295 </id> <phrase>  son  </phrase> <category> ['son'] </category>  
test.txt	COLON_CANCER: colon cancer	PATIENT: patient	HISTORY OF PRESENT ILLNESS: Patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son.	rawText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. cleanedText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. ******************************** TARGET: <id> 254357745214784117227346301988033028087 </id> <phrase> colon cancer </phrase> <category> ['colon_cancer'] </category>  ----MODIFIED BY: <id> 254246306684343353693578595956626317303 </id> <phrase> history of </phrase> <category> ['historical'] </category>  ----MODIFIED BY: <id> 254328499723155226828291855250415181815 </id> <phrase> patient </phrase> <category> ['patient'] </category>  ----MODIFIED BY: <id> 254328986184073064413186636581211234295 </id> <phrase> 70 year old </phrase> <category> ['pseudo_age'] </category>  ----MODIFIED BY: <id> 254320201999238782897593156747693154295 </id> <phrase>  son  </phrase> <category> ['son'] </category>  
test.txt	COLON_CANCER: colon cancer	PSEUDO_AGE: 70 year old	HISTORY OF PRESENT ILLNESS: Patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son.	rawText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. cleanedText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. ******************************** TARGET: <id> 254357745214784117227346301988033028087 </id> <phrase> colon cancer </phrase> <category> ['colon_cancer'] </category>  ----MODIFIED BY: <id> 254246306684343353693578595956626317303 </id> <phrase> history of </phrase> <category> ['historical'] </category>  ----MODIFIED BY: <id> 254328499723155226828291855250415181815 </id> <phrase> patient </phrase> <category> ['patient'] </category>  ----MODIFIED BY: <id> 254328986184073064413186636581211234295 </id> <phrase> 70 year old </phrase> <category> ['pseudo_age'] </category>  ----MODIFIED BY: <id> 254320201999238782897593156747693154295 </id> <phrase>  son  </phrase> <category> ['son'] </category>  
test.txt	COLON_CANCER: colon cancer	SON:  son 	HISTORY OF PRESENT ILLNESS: Patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son.	rawText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. cleanedText: history of present illness: patient is a 70-year-old male with diabetes, hypertension, stroke, colon cancer who was brought in today by her son. ******************************** TARGET: <id> 254357745214784117227346301988033028087 </id> <phrase> colon cancer </phrase> <category> ['colon_cancer'] </category>  ----MODIFIED BY: <id> 254246306684343353693578595956626317303 </id> <phrase> history of </phrase> <category> ['historical'] </category>  ----MODIFIED BY: <id> 254328499723155226828291855250415181815 </id> <phrase> patient </phrase> <category> ['patient'] </category>  ----MODIFIED BY: <id> 254328986184073064413186636581211234295 </id> <phrase> 70 year old </phrase> <category> ['pseudo_age'] </category>  ----MODIFIED BY: <id> 254320201999238782897593156747693154295 </id> <phrase>  son  </phrase> <category> ['son'] </category>  
test.txt	BREAST_CANCER: breast cancer	FAMILY: family history	FAMILY HISTORY: Aunt died of breast cancer at 43.	rawText: family history: aunt died of breast cancer at 43. cleanedText: family history: aunt died of breast cancer at 43. ******************************** TARGET: <id> 254412584572031615572303306611117809655 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254411167180204235382125222382358781943 </id> <phrase> family history </phrase> <category> ['family'] </category>  ----MODIFIED BY: <id> 254410685472976148657445958978843729911 </id> <phrase> aunt </phrase> <category> ['aunt'] </category>  ----MODIFIED BY: <id> 254411323259684388481686960861849346039 </id> <phrase> died </phrase> <category> ['death'] </category>  ----MODIFIED BY: <id> 254411297906672383917737879124918427639 </id> <phrase> 43 </phrase> <category> ['age'] </category>  
test.txt	BREAST_CANCER: breast cancer	AUNT: aunt	FAMILY HISTORY: Aunt died of breast cancer at 43.	rawText: family history: aunt died of breast cancer at 43. cleanedText: family history: aunt died of breast cancer at 43. ******************************** TARGET: <id> 254412584572031615572303306611117809655 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254411167180204235382125222382358781943 </id> <phrase> family history </phrase> <category> ['family'] </category>  ----MODIFIED BY: <id> 254410685472976148657445958978843729911 </id> <phrase> aunt </phrase> <category> ['aunt'] </category>  ----MODIFIED BY: <id> 254411323259684388481686960861849346039 </id> <phrase> died </phrase> <category> ['death'] </category>  ----MODIFIED BY: <id> 254411297906672383917737879124918427639 </id> <phrase> 43 </phrase> <category> ['age'] </category>  
test.txt	BREAST_CANCER: breast cancer	DEATH: died	FAMILY HISTORY: Aunt died of breast cancer at 43.	rawText: family history: aunt died of breast cancer at 43. cleanedText: family history: aunt died of breast cancer at 43. ******************************** TARGET: <id> 254412584572031615572303306611117809655 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254411167180204235382125222382358781943 </id> <phrase> family history </phrase> <category> ['family'] </category>  ----MODIFIED BY: <id> 254410685472976148657445958978843729911 </id> <phrase> aunt </phrase> <category> ['aunt'] </category>  ----MODIFIED BY: <id> 254411323259684388481686960861849346039 </id> <phrase> died </phrase> <category> ['death'] </category>  ----MODIFIED BY: <id> 254411297906672383917737879124918427639 </id> <phrase> 43 </phrase> <category> ['age'] </category>  
test.txt	BREAST_CANCER: breast cancer	AGE: 43	FAMILY HISTORY: Aunt died of breast cancer at 43.	rawText: family history: aunt died of breast cancer at 43. cleanedText: family history: aunt died of breast cancer at 43. ******************************** TARGET: <id> 254412584572031615572303306611117809655 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254411167180204235382125222382358781943 </id> <phrase> family history </phrase> <category> ['family'] </category>  ----MODIFIED BY: <id> 254410685472976148657445958978843729911 </id> <phrase> aunt </phrase> <category> ['aunt'] </category>  ----MODIFIED BY: <id> 254411323259684388481686960861849346039 </id> <phrase> died </phrase> <category> ['death'] </category>  ----MODIFIED BY: <id> 254411297906672383917737879124918427639 </id> <phrase> 43 </phrase> <category> ['age'] </category>  
test.txt	BREAST_CANCER: breast cancer	BROTHER: brother	Brother had breast cancer at 20.	rawText: brother had breast cancer at 20. cleanedText: brother had breast cancer at 20. ******************************** TARGET: <id> 254416744842845239590638657222052438007 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254414543092208968186526801459268575223 </id> <phrase> brother </phrase> <category> ['brother'] </category>  ----MODIFIED BY: <id> 254415104819881194319726702464780754935 </id> <phrase> 20 </phrase> <category> ['age'] </category>  
test.txt	BREAST_CANCER: breast cancer	AGE: 20	Brother had breast cancer at 20.	rawText: brother had breast cancer at 20. cleanedText: brother had breast cancer at 20. ******************************** TARGET: <id> 254416744842845239590638657222052438007 </id> <phrase> breast cancer </phrase> <category> ['breast_cancer'] </category>  ----MODIFIED BY: <id> 254414543092208968186526801459268575223 </id> <phrase> brother </phrase> <category> ['brother'] </category>  ----MODIFIED BY: <id> 254415104819881194319726702464780754935 </id> <phrase> 20 </phrase> <category> ['age'] </category>  
test.txt	COLON_CANCER: colon ca 	FATHER: dad	OTHER: colon ca - dad; endometrial ca - mom.	rawText: other: colon ca - dad; endometrial ca - mom. cleanedText: other: colon ca - dad; endometrial ca - mom. ******************************** TARGET: <id> 254421835252286781077860990428626837495 </id> <phrase> colon ca  </phrase> <category> ['colon_cancer'] </category>  ----MODIFIED BY: <id> 254420531156731796286046234412883140599 </id> <phrase> dad </phrase> <category> ['father'] </category>  ----MODIFIED BY: <id> 254420318825256258056217768006240198647 </id> <phrase> mom </phrase> <category> ['mother'] </category>  
